date,CAD_per_CNY
2017-01-03,0.193
2017-01-04,0.192
2017-01-05,0.1922
2017-01-06,0.1911
2017-01-09,0.1907
2017-01-10,0.1909
2017-01-11,0.1905
2017-01-12,0.1903
2017-01-13,0.1903
2017-01-16,0.1907
2017-01-17,0.1905
2017-01-18,0.1925
2017-01-19,0.1938
2017-01-20,0.194
2017-01-23,0.1939
2017-01-24,0.1921
2017-01-25,0.1901
2017-01-26,0.1904
2017-01-27,0.1907
2017-01-30,0.1906
2017-01-31,0.1894
2017-02-01,0.19
2017-02-02,0.1891
2017-02-03,0.1895
2017-02-06,0.1909
2017-02-07,0.1913
2017-02-08,0.1915
2017-02-09,0.1911
2017-02-10,0.1902
2017-02-13,0.1902
2017-02-14,0.1904
2017-02-15,0.1905
2017-02-16,0.1905
2017-02-17,0.1908
2017-02-21,0.191
2017-02-22,0.1916
2017-02-23,0.1909
2017-02-24,0.1906
2017-02-27,0.1909
2017-02-28,0.1929
2017-03-01,0.1938
2017-03-02,0.1943
2017-03-03,0.1943
2017-03-06,0.1943
2017-03-07,0.1944
2017-03-08,0.1949
2017-03-09,0.1955
2017-03-10,0.1948
2017-03-13,0.1945
2017-03-14,0.195
2017-03-15,0.1942
2017-03-16,0.1931
2017-03-17,0.1932
2017-03-20,0.1934
2017-03-21,0.1933
2017-03-22,0.1941
2017-03-23,0.1937
2017-03-24,0.1943
2017-03-27,0.1946
2017-03-28,0.1944
2017-03-29,0.194
2017-03-30,0.1931
2017-03-31,0.1933
2017-04-03,0.1943
2017-04-04,0.1949
2017-04-05,0.1945
2017-04-06,0.1945
2017-04-07,0.1941
2017-04-10,0.1934
2017-04-11,0.1934
2017-04-12,0.193
2017-04-13,0.1927
2017-04-17,0.1931
2017-04-18,0.1944
2017-04-19,0.1954
2017-04-20,0.1959
2017-04-21,0.1961
2017-04-24,0.196
2017-04-25,0.1974
2017-04-26,0.1972
2017-04-27,0.1975
2017-04-28,0.1982
2017-05-01,0.1982
2017-05-02,0.199
2017-05-03,0.1988
2017-05-04,0.1993
2017-05-05,0.1986
2017-05-08,0.1985
2017-05-09,0.1987
2017-05-10,0.1981
2017-05-11,0.1985
2017-05-12,0.1988
2017-05-15,0.1979
2017-05-16,0.1974
2017-05-17,0.1978
2017-05-18,0.1976
2017-05-19,0.1967
2017-05-23,0.1958
2017-05-24,0.1954
2017-05-25,0.1959
2017-05-26,0.1963
2017-05-29,0.1961
2017-05-30,0.1965
2017-05-31,0.1982
2017-06-01,0.1983
2017-06-02,0.1982
2017-06-05,0.1982
2017-06-06,0.1981
2017-06-07,0.1985
2017-06-08,0.1986
2017-06-09,0.1979
2017-06-12,0.1973
2017-06-13,0.1947
2017-06-14,0.1945
2017-06-15,0.1951
2017-06-16,0.1943
2017-06-19,0.1939
2017-06-20,0.1943
2017-06-21,0.1949
2017-06-22,0.1937
2017-06-23,0.1941
2017-06-26,0.1935
2017-06-27,0.1936
2017-06-28,0.1921
2017-06-29,0.1918
2017-06-30,0.1914
2017-07-04,0.1903
2017-07-05,0.1909
2017-07-06,0.1903
2017-07-07,0.1894
2017-07-10,0.1894
2017-07-11,0.1899
2017-07-12,0.1885
2017-07-13,0.1879
2017-07-14,0.187
2017-07-17,0.1871
2017-07-18,0.1872
2017-07-19,0.1865
2017-07-20,0.1861
2017-07-21,0.1854
2017-07-24,0.1853
2017-07-25,0.1853
2017-07-26,0.1851
2017-07-27,0.1857
2017-07-28,0.1847
2017-07-31,0.1856
2017-08-01,0.1863
2017-08-02,0.1868
2017-08-03,0.1872
2017-08-04,0.1879
2017-08-08,0.189
2017-08-09,0.1903
2017-08-10,0.1912
2017-08-11,0.1903
2017-08-14,0.1904
2017-08-15,0.1908
2017-08-16,0.1897
2017-08-17,0.1894
2017-08-18,0.1887
2017-08-21,0.1886
2017-08-22,0.1884
2017-08-23,0.1887
2017-08-24,0.1881
2017-08-25,0.1878
2017-08-28,0.1887
2017-08-29,0.1897
2017-08-30,0.1911
2017-08-31,0.1902
2017-09-01,0.1889
2017-09-05,0.1891
2017-09-06,0.188
2017-09-07,0.1872
